nomem_encr,cntry.orig,gp.orig,origin,lang.r2,eco.d1,gov.d1,dem.d1,msg.d1,c.eco.d1,c.gov.d1,c.dem..d1,c.msg.d1,eco.posneg,dem.posneg,prl.d1,pol.d1,par.d1,led.d1,c.prl.d1,c.pol.d1,c.par.d1,c.led.d1,polintrst,d.ethnic,d.national,d.relig,d.lang,d.origin,d.age,d.gender,d.sex,d.disable,o.ethnic,o.national,o.relig,o.lang,o.orig,o.age,o.gender,o.sex,o.disable,o.other,conflict,opposition,identity,blend,language,scndlang,lang.job,lang.job.na,lang.friends,lang.friends.na,lang.home,lang.home.na,lang.mother,lang.mother.na,lang.father,lang.father.na,write.d,read.d,speak.d,listen.d,language2,write2,read2,speak2,listen2,cntry.orig2,eco.d2,gov.d2,dem.d2,msg.d2,c.eco.d2,c.gov.d2,c.dem.d2,c.msg.d2,eco.posneg2,dem.posneg2,prl.d2,pol.d2,par.d2,led.d2,c.prl.d2,c.pol.d2,c.par.d2,c.led.d2,polintrst2,d.ethnic2,d.national2,d.relig2,d.lang2,d.orig2,d.age2,d.gender2,d.sex2,d.disable2,o2.ethnic,o2.national,o2.relig,o2.lang,o2.orig,o2.age,o2.gender,o2.sex,o2.disable,o2.other,conflict2,opposition2,identity2,blend2,eco.o,gov.o,dem.o,msg.o,c.eco.o,c.gov.o,c.dem.o,c.msg.o,eco.posneg3,dem.posneg3,trst.parl3,trst.police3,trst.polpar3,trst.leader3,c.prl.o,c.pol.o,c.par.o,c.led.o,polintrst3,d.ethnic3,d.national3,d.relig3,d.lang3,d.orig3,d.age3,d.gender3,d.sex3,d.disable3,o.ethnic3,o.national3,o.relig3,o.lang3,o.origin3,o.age3,o.gender3,o.sex3,o.disable3,o.other3,conflict3,opposition3,identity3,blend3,Round,d.other,d.other2,d.other3,r2r3,gp2
800122,"Netherlands Antilles, first or second generation","First generation non-Dutch, non-western origins",,,2,2,2,2,8,8,8,8,2,2,2,2,2,2,8,8,8,8,4,2,2,2,2,2,2,2,2,2,,,,,,,,,,,8,2,8,6,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
800296,"Indonesia, first or second generation","First generation non-Dutch, western origins",,,0,0,5,0,10,10,8,5,5,5,5,5,5,5,5,6,5,5,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,0,5,5,10,Dutch,,Dutch,,Dutch,,Dutch,,13,,13,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
800320,The Netherlands,autochthonous origins,,,4,2,6,5,8,8,7,5,4,6,4,9,4,4,7,2,7,8,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,10,10,10,10,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
800338,The Netherlands,autochthonous origins,,,2,2,2,2,8,9,9,10,5,5,2,8,2,5,10,8,10,7,3,2,2,2,2,1,2,2,2,2,,,,,2,,,,,,,,,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
800341,"Turkey, first or second generation","Second generation non-Dutch, non-western origins",,Turkish,6,5,4,7,5,8,5,6,7,5,6,6,8,6,5,6,3,5,1,2,1,1,2,2,1,1,2,2,,3,2,,,3,4,,,,6,6,7,6,Turkish,,Dutch,,Turkish,,Turkish,,Turkish,,13,,7,6,7,5,Turks,7,5,8,6,"Turkey, first or second generation",0,2,3,7,3,2,7,4,5,5,5,5,6,9,8,7,6,6,3,1,2,2,2,1,1,1,2,2,3,,,,2,5,4,,,,7,5,6,5,6,2,3,3,4,10,10,7,5,5,5,5,5,7,6,6,6,6,3,1,2,2,1,2,2,1,1,2,4,,,3,,,4,5,,,5,5,5,5,1,,,,R2R3,Other
800378,,,,,5,4,5,6,8,7,5,3,5,6,7,7,5,0,6,2,3,10,3,1,2,2,2,2,2,2,2,2,3,,,,,,,,,,,,,,Dutch,,Dutch,,"Other language, namely…",Jongerentaal,Dutch,,"Other language, namely…","Nederlands, maar soms Papiamento",Dutch,,6,10,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
800396,The Netherlands,autochthonous origins,,Dutch,3,0,2,4,6,10,8,6,2,3,2,8,2,2,10,6,10,9,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,5,,,,,Dutch,,13,,English,,English,,Dutch,,13,,8,10,10,10,,,,,,The Netherlands,4,2,2,2,8,8,8,9,3,3,1,8,2,2,8,5,10,9,2,2,2,2,2,1,1,2,2,1,,,,,5,4,,,5,6,,,,,2,2,3,2,8,8,9,8,2,2,2,8,1,2,9,5,8,9,2,2,2,1,2,1,1,2,2,1,,,3,,5,4,,,5,6,,,,,1,chronische ziekte,chronies ziek,chronies ziek,R2R3,Dutch
800524,The Netherlands,autochthonous origins,,Dutch,0,0,0,0,10,10,10,10,0,0,0,1,1,1,1,10,10,10,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,9,10,10,10,,,,,,The Netherlands,5,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,5,5,5,6,4,6,6,6,6,5,5,5,5,5,5,5,5,5,5,1,1,2,2,2,2,2,2,2,4,4,,,,,,,,,,,,,1,,,,R2R3,Dutch
800598,The Netherlands,autochthonous origins,,Dutch,3,3,3,3,8,8,8,8,5,4,3,5,4,3,8,8,8,8,4,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,5,7,9,9,,,,,,The Netherlands,6,3,4,5,8,8,8,8,7,7,6,7,4,7,8,8,8,6,5,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,3,3,4,4,8,8,8,8,5,5,5,6,4,3,8,8,8,8,5,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,1,,,,R2R3,Dutch
800613,The Netherlands,autochthonous origins,,Dutch,2,5,7,7,5,5,2,5,5,5,7,5,6,7,5,5,5,5,4,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,Dutch,,Dutch,,Dutch,,"Other language, namely…",portugees,Dutch,,Dutch,,10,10,10,10,,,,,,The Netherlands,3,7,8,8,5,3,2,2,5,5,7,6,7,7,4,6,4,4,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,4,7,7,7,3,4,3,3,5,5,6,6,7,7,4,6,4,4,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,1,,,,R2R3,Dutch
800692,"Other Western origin, first or second generation","First generation non-Dutch, western origins",,,4,2,4,1,5,5,7,7,5,7,2,3,3,3,6,5,6,8,1,2,2,1,2,2,2,2,2,2,,,2,,,,,,,,5,8,7,6,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,9,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
800726,The Netherlands,autochthonous origins,,,6,7,8,7,4,3,0,0,7,7,7,8,7,7,3,4,3,3,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
800781,"Other Western origin, first or second generation","First generation non-Dutch, western origins",,,5,3,3,3,10,10,10,10,0,0,0,0,0,0,10,10,10,10,5,2,2,2,2,2,1,2,2,2,,,,,,4,,,,,10,0,10,10,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
800814,The Netherlands,autochthonous origins,,Dutch,3,5,5,5,8,8,8,7,5,5,5,8,5,4,8,6,8,8,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,10,10,10,10,,,,,,The Netherlands,4,5,7,5,7,8,3,5,5,7,5,8,5,5,7,3,7,5,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,5,5,6,5,4,7,5,5,5,5,5,7,5,5,7,3,7,5,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,1,,,,R2R3,Dutch
800836,"Suriname, first or second generation","First generation non-Dutch, non-western origins",,,6,6,7,7,7,6,7,6,5,5,5,8,5,5,7,7,7,7,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,3,5,7,10,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,8,7,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
800949,The Netherlands,autochthonous origins,,Dutch,1,1,2,3,9,9,9,9,5,2,2,3,5,1,5,1,1,9,4,2,2,2,2,2,1,2,2,2,,,,,,4,,,,,,,,,Dutch,,13,,Dutch,,Dutch,,13,,13,,9,9,10,10,,,,,,The Netherlands,2,4,7,6,8,8,7,6,5,6,4,7,4,4,8,7,9,8,4,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,4,5,7,5,8,8,6,6,5,5,4,7,4,4,9,7,8,8,4,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,1,,,,R2R3,Dutch
800979,"Other Western origin, first or second generation","First generation non-Dutch, western origins",,English,5,7,7,5,3,2,5,5,5,5,6,7,4,5,2,2,3,5,4,2,2,2,2,2,2,2,2,2,,,,,,,,,,,0,8,5,5,English,,English,,English,,English,,English,,English,,2,7,6,8,Engels,10,10,10,10,"Other Western origin, first or second generation",6,7,7,5,6,2,2,5,5,5,7,7,6,8,3,3,3,3,4,2,2,2,2,2,2,2,2,2,,,,,,,,,,,0,9,8,7,7,7,7,8,3,2,2,0,5,5,7,7,6,4,2,1,2,2,4,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,8,7,7,1,,,,R2R3,Other
801016,The Netherlands,autochthonous origins,,,6,7,7,7,5,4,4,4,7,7,4,7,4,4,5,7,7,7,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,9,8,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
801071,"Indonesia, first or second generation","Second generation non-Dutch, western origins",Autochthonous,,4,6,8,7,8,8,3,6,5,5,8,7,5,6,6,4,7,6,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
801074,"Indonesia, first or second generation","Second generation non-Dutch, western origins",Autochthonous,,3,4,4,4,5,5,6,5,5,5,4,5,3,4,5,5,6,6,4,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
801251,The Netherlands,autochthonous origins,,Dutch,3,4,5,5,5,7,5,5,7,7,5,7,5,5,5,3,5,5,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,10,10,10,10,,,,,,The Netherlands,5,4,5,5,7,7,5,5,5,4,4,7,4,5,5,5,7,5,4,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,4,4,5,5,7,7,5,6,7,5,5,7,5,5,6,5,5,6,4,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,1,,,,R2R3,Dutch
801263,"Other Western origin, first or second generation","First generation non-Dutch, western origins",,,2,0,0,3,10,10,10,3,0,0,2,0,0,2,10,10,10,10,2,2,2,1,1,1,1,2,2,1,,,2,2,3,2,,,5,,4,5,7,10,"Other language, namely…",catalaans,13,,Dutch,,Dutch,,Dutch,,"Other language, namely…",catalaans,2,6,6,6,catalaans,9,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
801290,"Morocco, first or second generation","First generation non-Dutch, non-western origins",,Arabic,4,4,3,2,7,8,8,10,5,4,3,1,3,6,7,9,8,7,2,1,1,1,2,1,2,2,2,2,4,3,4,,5,,,,,,7,5,5,5,Arab,,Dutch,,Dutch,,Dutch,,Arab,,Arab,,7,8,10,10,Arabisch,1,2,9,9,"Morocco, first or second generation",5,5,7,3,9,9,7,9,5,5,4,2,4,5,8,9,8,10,3,1,1,1,2,1,2,2,2,2,4,3,5,,5,,,,,,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,,,,,,,,,,,5,5,5,5,1,,,,R2R3,Other
801309,"South Africa, first or second generation","Second generation non-Dutch, non-western origins",Autochthonous,,5,6,7,7,3,3,3,3,5,5,7,7,7,7,3,3,3,3,4,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
801315,"Other non-Western origin, first or second generation","First generation non-Dutch, non-western origins",,,7,6,6,6,5,6,4,5,6,5,5,6,5,5,5,5,5,5,4,1,1,2,1,1,2,2,2,2,2,3,,3,3,,,,,,6,5,5,5,"Other language, namely…",chinees,Dutch,,"Other language, namely…",chinees,"Other language, namely…",chinees,"Other language, namely…",chinees,"Other language, namely…",chinees,7,7,7,7,chinees,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
801354,The Netherlands,autochthonous origins,,Dutch,8,7,7,7,5,3,3,3,6,7,7,7,7,7,4,6,3,3,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,9,9,9,9,,,,,,The Netherlands,7,7,7,7,4,3,3,2,7,5,7,8,7,7,4,5,4,4,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,7,7,7,7,3,4,4,3,5,5,7,8,7,7,3,4,3,3,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,1,,,,R2R3,Dutch
801416,"Other Western origin, first or second generation","Second generation non-Dutch, western origins",,,4,8,8,6,7,6,2,5,4,7,8,7,8,8,3,2,3,4,4,2,2,2,2,2,2,2,2,2,,,,,,,,,,,5,7,7,7,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,8,8,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
801419,"Other Western origin, first or second generation","Second generation non-Dutch, western origins",,,5,5,6,5,5,5,3,5,5,5,6,6,5,5,5,3,3,3,3,2,2,2,2,2,2,1,2,2,,,,,,,2,,,,0,8,8,2,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
801528,"Morocco, first or second generation","First generation non-Dutch, non-western origins",,,4,5,7,5,6,6,2,1,4,4,8,8,7,6,1,1,1,2,3,2,1,1,2,1,2,2,2,2,,2,2,,2,,,,,,6,5,5,5,Berber,,Dutch,,Dutch,,Dutch,,Berber,,Berber,,9,9,9,9,Berbers,0,0,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
801620,"Other non-Western origin, first or second generation","First generation non-Dutch, non-western origins",,Papiamento: spoken on Curaçao,2,2,5,5,9,8,3,6,7,6,5,1,4,5,6,7,9,6,1,1,2,2,2,2,2,2,2,2,3,,,,,,,,,,5,5,5,5,Papiamento,,Dutch,,Papiamento,,Dutch,,Papiamento,,13,,7,9,9,9,Papiamento,5,6,9,9,"Other non-Western origin, first or second generation",2,2,5,4,5,5,3,8,6,4,3,0,4,4,5,10,6,7,3,1,1,2,2,2,2,2,2,2,3,1,,,,,,,,,5,5,0,2,3,2,5,5,6,5,5,4,5,5,4,0,3,3,8,10,5,6,4,1,1,2,2,2,2,2,2,2,5,3,,,,,,,,,5,1,0,2,1,,,,R2R3,Other
801687,"Turkey, first or second generation","Second generation non-Dutch, non-western origins",,,1,2,2,5,4,2,2,1,2,3,5,5,5,5,1,2,2,1,5,1,1,1,1,2,2,2,2,2,3,3,3,3,,,,,,,5,5,0,0,Turkish,,Dutch,,"Other language, namely…",nederlands en turks,Turkish,,Turkish,,Turkish,,5,8,10,9,Turks,9,8,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
801712,The Netherlands,autochthonous origins,,,6,6,7,7,6,7,5,7,5,5,7,8,6,6,5,6,7,5,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,Dutch,,13,,"Other language, namely…",meestal Limburgs,"Other language, namely…",Limburgs,13,,13,,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
801840,,,,,6,6,6,6,9,9,7,6,4,4,2,6,2,2,9,8,9,9,4,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
801895,"Netherlands Antilles, first or second generation","Second generation non-Dutch, non-western origins",,,6,7,8,6,4,3,3,4,5,5,7,8,6,3,3,3,3,5,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,0,5,10,2,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
801916,"Indonesia, first or second generation","First generation non-Dutch, western origins",Autochthonous,,5,5,7,6,8,5,3,2,6,6,6,7,6,6,5,5,6,5,4,2,2,2,2,2,2,2,1,1,,,,,,,,3,3,,,,,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
801925,"Other non-Western origin, first or second generation","First generation non-Dutch, non-western origins",,,1,3,3,4,6,8,5,6,5,5,5,5,4,3,3,7,5,7,5,2,2,2,2,2,2,2,2,2,,,,,,,,,,,7,0,5,0,Dutch,,Dutch,,Dutch,,Dutch,,"Other language, namely…",Thais,"Other language, namely…",Thais,5,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
802230,"Indonesia, first or second generation","Second generation non-Dutch, western origins",,,6,7,6,7,9,6,6,0,4,5,7,7,6,5,5,5,5,5,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,5,5,5,5,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,7,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
802371,"Morocco, first or second generation","First generation non-Dutch, non-western origins",,,1,1,4,1,10,10,5,10,2,2,2,7,2,3,10,2,9,9,2,2,1,1,2,1,2,2,2,2,,3,5,,5,,,,,,9,1,5,5,Berber,,Dutch,,Dutch,,Dutch,,Berber,,13,,4,5,6,9,Berbers,9,9,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
802429,,,,,4,4,5,5,4,4,4,4,5,5,5,7,4,4,6,4,6,6,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
802490,The Netherlands,autochthonous origins,,Dutch,5,6,7,7,5,8,3,5,5,5,6,7,5,6,4,5,5,4,3,2,2,2,2,2,1,2,2,2,,,,,,4,,,,,,,,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,10,10,10,10,,,,,,The Netherlands,4,4,7,5,7,8,5,5,5,5,4,7,4,4,7,4,7,7,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,4,,,,,4,4,7,5,6,7,5,5,5,5,4,7,4,4,7,4,7,7,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,4,,,,,1,,leeftijd bij het zoeken naar werk,leeftijd bij het zoeken naar werk,R2R3,Dutch
802505,"Turkey, first or second generation","Second generation non-Dutch, non-western origins",,Turkish,3,3,4,6,5,5,5,4,5,5,4,3,3,6,5,5,5,5,4,2,2,2,2,2,2,2,2,2,,,,,,,,,,,5,5,0,5,Turkish,,Dutch,,Dutch,,Turkish,,Turkish,,Turkish,,3,8,8,8,Turks,5,3,5,6,"Turkey, first or second generation",3,6,4,3,6,5,6,6,6,5,7,7,7,6,4,5,5,6,4,2,2,2,2,2,2,2,2,2,,,,,,,,,,,5,5,0,5,6,5,5,4,6,5,5,7,5,5,7,7,7,5,5,5,5,5,4,2,2,2,2,2,2,2,2,2,,,,,,,,,,,5,6,0,5,1,,,,R2R3,Other
802508,"Turkey, first or second generation","Second generation non-Dutch, non-western origins",,Turkish,1,2,7,6,10,10,2,2,3,6,2,4,1,5,7,6,7,9,3,2,2,1,2,2,2,2,2,2,,,4,,,,,,,,7,1,0,5,Turkish,,Dutch,,Turkish,,Turkish,,Turkish,,Turkish,,8,8,8,8,Turks,8,8,8,8,"Turkey, first or second generation",1,1,6,6,10,10,3,3,5,5,0,5,0,1,3,3,6,10,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,6,3,0,5,0,0,6,0,10,10,6,10,5,5,0,5,0,0,8,0,10,10,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,5,3,0,5,1,,,,R2R3,Other
802520,"Indonesia, first or second generation","First generation non-Dutch, western origins",,,6,3,7,7,10,7,4,2,5,5,4,5,4,5,7,8,10,10,3,2,2,2,2,2,1,2,2,2,,,,,,5,,,,,7,4,5,10,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
802560,"Morocco, first or second generation","Second generation non-Dutch, non-western origins",,,0,0,5,0,10,9,8,10,10,4,3,2,0,5,9,7,10,8,3,2,2,1,2,1,2,2,2,2,,,3,,2,,,,,,0,5,5,5,Arab,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,10,10,10,10,Arabisch,0,0,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
802655,"Other Western origin, first or second generation","Second generation non-Dutch, western origins",,,2,2,3,6,10,10,8,6,2,4,1,7,1,2,10,9,9,4,3,2,2,2,2,2,2,2,1,2,,,,,,,,3,,,0,5,2,9,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,9,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
802673,"Other non-Western origin, first or second generation","First generation non-Dutch, non-western origins",,,5,6,7,5,6,6,6,5,5,5,7,6,5,3,6,6,6,5,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,0,5,8,2,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,13,,9,9,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
802764,"Other Western origin, first or second generation","Second generation non-Dutch, western origins",,,5,6,7,7,7,5,3,3,4,4,5,5,4,5,5,5,6,3,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,0,9,10,0,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,Dutch,,9,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,R1,
